======================================================================
PROXY CHECK RESULTS
Total: 1000 | Live: 505 | Die: 495
======================================================================

----------------------------------------
[LIVE] 505 proxies
----------------------------------------
[LIVE] prxserver52025.onthewifi.com:4529 | HTTP | 3722ms | IP: 27.79.234.246
[LIVE] prxserver52025.onthewifi.com:5331 | SOCKS5 | 694ms | IP: 27.79.233.150
[LIVE] prxserver52025.onthewifi.com:5069 | SOCKS5 | 574ms | IP: 27.79.234.45
[LIVE] prxserver52025.onthewifi.com:5566 | SOCKS5 | 686ms | IP: 27.79.234.246
[LIVE] serverproxybc4.ddns.net:5337 | SOCKS5 | 694ms | IP: 171.242.152.186
[LIVE] serverproxybc4.ddns.net:5022 | SOCKS5 | 1031ms | IP: 171.229.217.155
[LIVE] serverproxybc4.ddns.net:5073 | SOCKS5 | 687ms | IP: 117.6.107.34
[LIVE] serverproxybc4.ddns.net:5038 | SOCKS5 | 1049ms | IP: 27.66.124.8
[LIVE] prxserver62025.onthewifi.com:5442 | SOCKS5 | 701ms | IP: 27.79.129.128
[LIVE] prxserver62025.onthewifi.com:5214 | SOCKS5 | 984ms | IP: 27.79.130.66
[LIVE] prxserver62025.onthewifi.com:5680 | SOCKS5 | 697ms | IP: SOCKS5-FORWARD-OK
